
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  205.210.31.74:61920 Invalid request (Unsupported SSL request)
  2026-03-03 11:54:12 .............................................. ~ 0.53ms
  205.210.31.74:61930 Invalid request (Unsupported SSL request)
  2026-03-03 11:54:13 .............................................. ~ 0.21ms
  2026-03-03 13:39:51 /jars ........................................ ~ 0.31ms
  71.6.134.232:41558 Invalid request (Unsupported SSL request)
  2026-03-03 14:06:02 .............................................. ~ 1.35ms
  2026-03-03 14:21:56 / ............................................ ~ 0.25ms
  2026-03-03 14:22:31 /favicon.ico ................................. ~ 0.26ms
  2026-03-03 15:04:45 /SDK/webLanguage ............................. ~ 1.17ms
  2026-03-03 15:43:04 / ............................................ ~ 0.31ms
  2026-03-03 15:52:47 /SDK/webLanguage ............................. ~ 0.35ms
  85.11.182.19:55322 Invalid request (Unsupported SSL request)
  2026-03-03 16:16:11 .............................................. ~ 0.38ms
  2026-03-03 16:16:11 / .......................................... ~ 500.43ms
  2026-03-03 17:18:07 /.env.test ................................... ~ 0.30ms
  85.11.183.27:44592 Invalid request (Unsupported SSL request)
  2026-03-03 17:22:37 .............................................. ~ 0.27ms
  2026-03-03 17:22:37 / ............................................ ~ 0.25ms
  2026-03-03 19:16:23 /login ....................................... ~ 0.29ms
  2026-03-03 19:20:20 / ............................................ ~ 1.28ms
  2026-03-03 19:20:20 / ................................................ ~ 1s
  205.210.31.47:60350 Invalid request (Unsupported SSL request)
  2026-03-03 19:57:20 .............................................. ~ 0.74ms
  205.210.31.47:60356 Invalid request (Unsupported SSL request)
  2026-03-03 19:57:21 .............................................. ~ 0.12ms
  2026-03-03 20:19:26 /SDK/webLanguage ............................. ~ 0.75ms
  2026-03-03 21:06:20 /SDK/webLanguage ........................... ~ 500.77ms
  2026-03-03 21:13:10 /SDK/webLanguage ............................. ~ 0.25ms
  2026-03-03 21:52:12 /SDK/webLanguage ............................. ~ 4.27ms
  176.65.134.3:28170 Invalid request (Malformed HTTP request)
  2026-03-03 21:54:27 .............................................. ~ 0.54ms
  2026-03-03 22:37:44 /SDK/webLanguage ............................. ~ 0.40ms
  2026-03-03 23:23:06 /SDK/webLanguage ............................. ~ 0.41ms
  2026-03-03 23:46:29 /login ....................................... ~ 2.06ms
  2026-03-03 23:59:57 .............................................. ~ 0.27ms
  2026-03-03 23:59:57 / ............................................ ~ 0.09ms
  2026-03-03 23:59:59 / ............................................ ~ 1.01ms
  2026-03-03 23:59:59 /_next ....................................... ~ 0.05ms
  2026-03-04 00:00:02 /api ......................................... ~ 0.22ms
  2026-03-04 00:00:02 /_next/server ................................ ~ 0.06ms
  2026-03-04 00:00:06 /app ......................................... ~ 0.22ms
  2026-03-04 00:00:06 /api/route ................................... ~ 0.05ms
  2026-03-04 00:08:26 /SDK/webLanguage ............................. ~ 0.36ms
  2026-03-04 00:13:41 /./NotSupport/NotSupport.html ................ ~ 0.24ms
  85.11.183.21:51868 Invalid request (Unsupported SSL request)
  2026-03-04 00:39:09 .............................................. ~ 1.48ms
  2026-03-04 00:39:09 / ............................................ ~ 0.05ms
  2026-03-04 00:54:13 / ............................................ ~ 0.38ms
  2026-03-04 00:54:49 /SDK/webLanguage ............................. ~ 0.23ms
  2026-03-04 00:54:56 /favicon.ico ................................. ~ 0.26ms
  2026-03-04 00:55:34 / ................................................ ~ 1s
  184.105.139.91:6803 [404]: CONNECT www.shadowserver.org:443
  2026-03-04 00:55:41 .............................................. ~ 0.28ms
  2026-03-04 00:56:54 ............................................ ~ 500.56ms
  2026-03-04 00:56:54 / .......................................... ~ 500.50ms
  2026-03-04 00:56:55 / .......................................... ~ 500.51ms
  2026-03-04 00:56:55 /_next ....................................... ~ 0.09ms
  2026-03-04 00:56:56 /api ....................................... ~ 500.78ms
  2026-03-04 00:56:56 /_next/server ................................ ~ 0.08ms
  2026-03-04 00:56:56 /app ....................................... ~ 500.48ms
  2026-03-04 00:56:56 /api/route ................................... ~ 0.05ms
  122.194.9.231:41261 Invalid request (Malformed HTTP request)
  2026-03-04 01:21:46 .................................................. ~ 1s
  2026-03-04 01:41:17 /SDK/webLanguage ............................. ~ 0.49ms
  176.65.149.215:40066 [404]: CONNECT google.com:443
  2026-03-04 01:46:16 .............................................. ~ 0.36ms
  2026-03-04 01:49:54 / ............................................... ~ 32s
  5.181.190.188:49438 Invalid request (Unsupported SSL request)
  2026-03-04 01:50:26 .............................................. ~ 0.13ms
  5.181.190.188:49440 Invalid request (Unsupported SSL request)
  2026-03-04 01:50:26 .............................................. ~ 1.58ms
  5.181.190.188:49546 [404]: GET /..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd
  2026-03-04 01:50:26 .............................................. ~ 0.31ms
  2026-03-04 01:50:26 /..\..\..\..\..\..\etc\passwd ................ ~ 2.21ms
  5.181.190.188:49538 Invalid request (Unsupported SSL request)
  2026-03-04 01:50:26 .............................................. ~ 2.80ms
  5.181.190.188:49540 Invalid request (Unsupported SSL request)
  2026-03-04 01:50:26 .............................................. ~ 4.15ms
  2026-03-04 01:50:26 /etc/passwd .................................. ~ 0.05ms
  5.181.190.188:49548 Invalid request (Unsupported SSL request)
  2026-03-04 01:50:26 .............................................. ~ 1.16ms
  5.181.190.188:49554 [404]: GET /%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd
  2026-03-04 01:50:26 .............................................. ~ 1.44ms
  2026-03-04 01:50:26 /passwd ...................................... ~ 0.04ms
  2026-03-04 01:58:05 /jars ........................................ ~ 0.32ms
  2026-03-04 02:26:58 /SDK/webLanguage ............................. ~ 0.40ms
  2026-03-04 03:12:56 /SDK/webLanguage ............................. ~ 0.41ms
  162.142.125.201:19056 Invalid request (Connection reset by peer)
  2026-03-04 03:16:14 .................................................. ~ 3s
  2026-03-04 03:16:17 / ................................................ ~ 3s
  162.142.125.201:63428 Invalid request (Unsupported SSL request)
  2026-03-04 03:16:23 .............................................. ~ 0.23ms
  162.142.125.201:63434 Invalid request (Unsupported SSL request)
  2026-03-04 03:16:23 .............................................. ~ 0.09ms
  2026-03-04 03:16:23 / ............................................ ~ 0.16ms
  162.142.125.201:63444 Invalid request (Malformed HTTP request)
  2026-03-04 03:16:24 .............................................. ~ 0.10ms
  162.142.125.201:30828 Invalid request (Unsupported SSL request)
  2026-03-04 03:16:27 .............................................. ~ 0.23ms
  2026-03-04 03:16:27 /robots.txt .................................. ~ 0.06ms
  2026-03-04 03:16:27 /favicon.ico ................................. ~ 0.16ms
  162.142.125.201:30862 Invalid request (Unsupported SSL request)
  2026-03-04 03:16:27 .............................................. ~ 0.11ms
  2026-03-04 03:16:28 /mc42940j142ke7 .............................. ~ 0.17ms
  2026-03-04 03:59:02 /SDK/webLanguage ........................... ~ 500.72ms
  2026-03-04 04:32:01 /config.py.bak ............................... ~ 0.36ms
  2026-03-04 04:44:53 /SDK/webLanguage ............................. ~ 0.39ms
  2026-03-04 04:57:00 / ............................................ ~ 0.38ms
  65.49.1.142:65180 Invalid request (Unsupported SSL request)
  2026-03-04 05:27:43 .............................................. ~ 1.58ms
  65.49.1.150:55871 Invalid request (Unsupported SSL request)
  2026-03-04 05:28:10 .............................................. ~ 0.30ms
  2026-03-04 05:30:41 /SDK/webLanguage ............................. ~ 0.30ms
  2026-03-04 06:17:35 /SDK/webLanguage ............................. ~ 0.45ms
  2026-03-04 07:03:52 /SDK/webLanguage ............................. ~ 0.42ms
  2026-03-04 07:09:43 / ............................................ ~ 0.37ms
  2026-03-04 07:09:41 .................................................. ~ 3s
  2026-03-04 07:09:45 / ............................................ ~ 0.21ms
  2026-03-04 07:09:45 /_next ....................................... ~ 0.08ms
  2026-03-04 07:09:45 /api ............................................. ~ 1s
  2026-03-04 07:09:54 /app ......................................... ~ 0.16ms
  2026-03-04 07:09:55 /api/route ................................... ~ 0.19ms
  34.193.119.44:54282 Invalid request (Unsupported SSL request)
  2026-03-04 07:32:20 .............................................. ~ 2.25ms
  2026-03-04 07:39:54 /SDK/webLanguage ............................. ~ 0.28ms
  2026-03-04 07:40:02 /.env.local .................................. ~ 0.22ms
  2026-03-04 07:50:28 /SDK/webLanguage ............................. ~ 0.44ms
  167.94.138.195:9988 Invalid request (Connection reset by peer)
  2026-03-04 07:56:13 .................................................. ~ 3s
  2026-03-04 07:56:17 / ................................................ ~ 4s
  167.94.138.195:60940 Invalid request (Unsupported SSL request)
  2026-03-04 07:56:26 .............................................. ~ 0.63ms
  167.94.138.195:60950 Invalid request (Unsupported SSL request)
  2026-03-04 07:56:27 .............................................. ~ 0.27ms
  2026-03-04 07:56:27 / .......................................... ~ 500.56ms
  167.94.138.195:60972 Invalid request (Malformed HTTP request)
  2026-03-04 07:56:28 ............................................ ~ 500.61ms
  167.94.138.195:13748 Invalid request (Unsupported SSL request)
  2026-03-04 07:56:39 ............................................ ~ 502.59ms
  2026-03-04 07:56:41 /.well-known/security.txt .................. ~ 500.50ms
  2026-03-04 08:14:10 / ................................................ ~ 1s
  2026-03-04 08:30:18 /login ....................................... ~ 0.51ms
  2026-03-04 08:36:11 /SDK/webLanguage ............................. ~ 0.52ms
  2026-03-04 09:22:54 /SDK/webLanguage ............................. ~ 0.62ms
  2026-03-04 10:10:25 /SDK/webLanguage ............................. ~ 2.27ms
  2026-03-04 10:50:04 / ............................................ ~ 0.44ms
  2026-03-04 10:50:04 /livewire-b5ae0c61/livewire.js ............. ~ 500.51ms
  2026-03-04 10:50:07 /favicon.ico ................................. ~ 0.17ms
  2026-03-04 10:50:08 /admin ....................................... ~ 0.18ms
  2026-03-04 10:50:08 .............................................. ~ 1m 23s
  2026-03-04 10:57:16 /SDK/webLanguage ............................. ~ 0.48ms
  20.168.0.74:55316 Invalid request (Unexpected EOF)
  2026-03-04 11:41:13 ................................................. ~ 10s
  2026-03-04 11:44:27 /SDK/webLanguage ............................. ~ 0.45ms
  2026-03-04 12:32:20 /SDK/webLanguage ........................... ~ 500.73ms
  2026-03-04 12:54:03 /manager/html ................................ ~ 0.46ms
  2026-03-04 13:16:36 / ............................................ ~ 0.39ms
  2026-03-04 13:16:36 / .......................................... ~ 500.62ms
  2026-03-04 13:54:30 .............................................. ~ 0.50ms
  2026-03-04 13:54:30 / ............................................ ~ 0.06ms
  2026-03-04 13:54:30 / .......................................... ~ 500.60ms
  2026-03-04 13:54:30 /_next ....................................... ~ 0.10ms
  2026-03-04 13:54:30 /api ......................................... ~ 0.08ms
  2026-03-04 13:54:33 /_next/server .................................... ~ 1s
  2026-03-04 13:54:34 /app ......................................... ~ 0.05ms
  2026-03-04 13:54:35 /api/route ................................... ~ 0.05ms
  2026-03-04 14:25:08 /SDK/webLanguage ........................... ~ 501.70ms
  2026-03-04 14:26:52 / ............................................ ~ 1.08ms
  2026-03-04 15:13:29 /SDK/webLanguage ............................. ~ 1.31ms
  2026-03-04 15:53:41 /constants.py ................................ ~ 3.76ms
  2026-03-04 16:01:27 /SDK/webLanguage ............................. ~ 0.41ms
  2026-03-04 16:47:52 /SDK/webLanguage ............................. ~ 0.35ms
  2026-03-04 17:02:30 /SDK/webLanguage ............................. ~ 0.52ms
  2026-03-04 17:35:29 /SDK/webLanguage ........................... ~ 500.95ms
  2026-03-04 17:49:50 /login ....................................... ~ 1.47ms
  2026-03-04 18:41:53 /jars ........................................ ~ 3.99ms
  2026-03-04 19:15:18 / ............................................ ~ 1.38ms
  13.89.124.213:49638 Invalid request (Unexpected EOF)
  2026-03-04 19:15:19 ................................................. ~ 10s
  2026-03-04 19:30:11 / ............................................ ~ 0.30ms
  2026-03-04 21:15:37 .............................................. ~ 1.96ms
  2026-03-04 21:15:37 / ............................................ ~ 0.07ms
  2026-03-04 21:15:37 / .......................................... ~ 500.51ms
  2026-03-04 21:15:38 /_next ....................................... ~ 0.08ms
  2026-03-04 21:15:40 /api ......................................... ~ 0.23ms
  2026-03-04 21:15:41 /_next/server ................................ ~ 0.16ms
  2026-03-04 21:15:41 /app ......................................... ~ 0.04ms
  2026-03-04 21:15:42 /api/route ................................... ~ 0.18ms
  147.185.132.16:59334 Invalid request (Unsupported SSL request)
  2026-03-04 21:40:44 .............................................. ~ 0.57ms
  147.185.132.16:59336 Invalid request (Unsupported SSL request)
  2026-03-04 21:40:44 .............................................. ~ 0.25ms
  2026-03-04 22:06:28 / ............................................ ~ 2.16ms
  206.168.34.59:40446 Invalid request (Connection reset by peer)
  2026-03-04 22:44:44 .................................................. ~ 3s
  2026-03-04 22:44:47 / ................................................ ~ 3s
  206.168.34.59:45064 Invalid request (Unsupported SSL request)
  2026-03-04 22:44:57 .............................................. ~ 0.24ms
  206.168.34.59:45078 Invalid request (Unsupported SSL request)
  2026-03-04 22:44:58 .............................................. ~ 0.28ms
  2026-03-04 22:44:59 / ............................................ ~ 0.18ms
  206.168.34.59:45106 Invalid request (Malformed HTTP request)
  2026-03-04 22:44:59 .............................................. ~ 0.24ms
  206.168.34.59:19346 Invalid request (Unsupported SSL request)
  2026-03-04 22:45:05 .............................................. ~ 0.26ms
  2026-03-04 22:45:06 /robots.txt ................................ ~ 500.70ms
  2026-03-04 22:45:10 /favicon.ico ............................... ~ 500.45ms
  206.168.34.59:19372 Invalid request (Unsupported SSL request)
  2026-03-04 22:45:11 .............................................. ~ 0.39ms
  2026-03-04 22:45:12 /rmgtw_avew ................................ ~ 500.56ms
  64.89.160.111:56362 Invalid request (Malformed HTTP request)
  2026-03-04 22:52:35 .............................................. ~ 0.43ms
  2026-03-05 01:40:12 /login ....................................... ~ 0.42ms
  65.49.20.66:20588 Invalid request (Unsupported SSL request)
  2026-03-05 02:35:52 .............................................. ~ 0.56ms
  65.49.20.66:20600 Invalid request (Unsupported SSL request)
  2026-03-05 02:35:56 .............................................. ~ 0.22ms
  2026-03-05 03:21:47 .............................................. ~ 0.45ms
  2026-03-05 03:21:48 / ............................................ ~ 0.21ms
  2026-03-05 03:21:48 /_next ....................................... ~ 0.05ms
  2026-03-05 03:21:48 /api ......................................... ~ 0.05ms
  2026-03-05 03:21:48 /_next/server ................................ ~ 0.17ms
  2026-03-05 03:21:48 /app ......................................... ~ 0.05ms
  2026-03-05 03:21:48 /api/route ................................... ~ 0.05ms
  2026-03-05 03:59:16 / ............................................... ~ 32s
  2026-03-05 04:03:56 /SDK/webLanguage ............................. ~ 0.26ms
  2026-03-05 04:55:39 / ............................................ ~ 0.43ms
  51.159.109.196:47334 Invalid request (Unsupported SSL request)
  2026-03-05 04:55:39 .............................................. ~ 0.13ms
  2026-03-05 04:55:40 / ............................................ ~ 0.16ms
  2026-03-05 04:55:40 /livewire-b5ae0c61/livewire.js ............... ~ 0.08ms
  2026-03-05 04:55:42 /favicon.ico ................................. ~ 0.19ms
  2026-03-05 04:55:46 /favicon.ico ................................. ~ 0.16ms
  2026-03-05 04:55:46 /favicon.ico/ads.txt ......................... ~ 0.13ms
  2026-03-05 04:55:46 /favicon.ico/app-ads.txt ..................... ~ 0.19ms
  2026-03-05 04:55:46 /favicon.ico/sellers.json .................... ~ 0.05ms
  2026-03-05 05:04:53 .................................................. ~ 1s
  91.231.89.188:38187 Invalid request (Unsupported SSL request)
  2026-03-05 06:46:33 .............................................. ~ 0.58ms
  2026-03-05 06:46:34 / ................................................ ~ 3s
  2026-03-05 06:49:34 /favicon.ico ................................. ~ 0.24ms
  2026-03-05 08:36:08 /jars ........................................ ~ 0.45ms
